Protein,Protein Name,Protein Family,ChEMBL ID
XBP1,Serine/threonine-protein kinase/endoribonuclease IRE1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family,CHEMBL1163101
XBP1,Peptidyl-prolyl cis-trans isomerase FKBP14,N/A,CHEMBL2342
XBP1,Hypoxia up-regulated protein 1,Belongs to the heat shock protein 70 family,CHEMBL2216741
XBP1,CXXC-type zinc finger protein 1,N/A,CHEMBL5169201
RBX1,E3 ubiquitin-protein ligase RBX1,Belongs to the RING-box family,CHEMBL3833061
RBX1,DNA damage-binding protein 1,Belongs to the DDB1 family,CHEMBL3833061
RBX1,Cullin-1,Belongs to the cullin family,CHEMBL3758068
RBX1,Cullin-4A,Belongs to the cullin family,CHEMBL4523598
RBX1,Cullin-4B,Belongs to the cullin family,CHEMBL4523287
RBX1,Cullin-5,Belongs to the cullin family,CHEMBL5291609
RBX1,Kelch-like ECH-associated protein 1,Belongs to the KEAP1 family,CHEMBL2069156
RBX1,Elongin-B,N/A,CHEMBL3301400
RBX1,DCN1-like protein 3,N/A,CHEMBL4295894
RBX1,Adenosine 5'-monophosphoramidase HINT1,Belongs to the HINT family,CHEMBL5878
RBX1,NEDD8-conjugating enzyme Ubc12,Belongs to the ubiquitin-conjugating enzyme family. UBC12 subfamily,CHEMBL4295787
TUBB1,Tubulin beta-1 chain,Belongs to the tubulin family,CHEMBL1915
RHOXF1,Microtubule-associated proteins 1A/1B light chain 3C,Belongs to the ATG8 family,CHEMBL4879505
RELB,Transcription factor RelB,N/A,CHEMBL4523273
RELB,Nuclear factor NF-kappa-B p100 subunit,N/A,CHEMBL3003
RELB,Nuclear factor NF-kappa-B p105 subunit,N/A,CHEMBL3251
RELB,Inhibitor of nuclear factor kappa-B kinase subunit alpha,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily,CHEMBL3476
RELB,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,Belongs to the PPP phosphatase family. PP-2B subfamily,CHEMBL5278
RELB,Transcription factor p65,N/A,CHEMBL5533
RELB,Serine/threonine-protein kinase Nek6,Belongs to the protein kinase superfamily. NEK Ser/Thr protein kinase family. NIMA subfamily,CHEMBL4309
RELB,Protein phosphatase 3 catalytic subunit alpha,Belongs to the PPP phosphatase family. PP-2B subfamily,CHEMBL4445
RELB,Probable global transcription activator SNF2L2,Belongs to the SNF2/RAD54 helicase family,CHEMBL2362979
RELB,Transcription activator BRG1,Belongs to the SNF2/RAD54 helicase family,CHEMBL3085620
DDX5,Probable ATP-dependent RNA helicase DDX5,Belongs to the DEAD box helicase family. DDX5/DBP2 subfamily,CHEMBL4295722
DDX5,ATP-dependent RNA helicase DDX3X,Belongs to the DEAD box helicase family. DDX3/DED1 subfamily,CHEMBL5553
DDX5,Estrogen receptor,Belongs to the nuclear hormone receptor family. NR3 subfamily,CHEMBL206
DDX5,DNA-directed RNA polymerase II subunit RPB1,Belongs to the RNA polymerase beta' chain family,CHEMBL1641353
DDX5,Probable ATP-dependent RNA helicase DDX17,Belongs to the DEAD box helicase family. DDX5/DBP2 subfamily,CHEMBL4105760
DDX5,Nuclear receptor coactivator 3,Belongs to the SRC/p160 nuclear receptor coactivator family,CHEMBL1615382
DDX5,Histone acetyltransferase p300,N/A,CHEMBL3784
DDX5,Histone deacetylase 1,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL325
DDX5,Nuclear receptor coactivator 1,Belongs to the SRC/p160 nuclear receptor coactivator family,CHEMBL1615387
DDX5,Heterogeneous nuclear ribonucleoprotein H2,N/A,CHEMBL4296005
NFKB1,Nuclear factor NF-kappa-B p105 subunit,N/A,CHEMBL3251
NFKB1,Mitogen-activated protein kinase kinase kinase 8,Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily,CHEMBL4899
NFKB1,Nuclear receptor coactivator 3,Belongs to the SRC/p160 nuclear receptor coactivator family,CHEMBL1615382
NFKB1,Hypoxia-inducible factor 1-alpha inhibitor,N/A,CHEMBL5909
NFKB1,Estrogen receptor,Belongs to the nuclear hormone receptor family. NR3 subfamily,CHEMBL206
NFKB1,cAMP-dependent protein kinase catalytic subunit alpha,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. cAMP subfamily,CHEMBL4101
NFKB1,Inhibitor of nuclear factor kappa-B kinase subunit beta,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily,CHEMBL1991
NFKB1,NF-kappa-B inhibitor epsilon,Belongs to the NF-kappa-B inhibitor family,CHEMBL3407
CTSC,Dipeptidyl peptidase 1,Belongs to the peptidase C1 family,CHEMBL2252
TBP,26S proteasome regulatory subunit 6A,Belongs to the AAA ATPase family,CHEMBL2364701
TBP,Transcription initiation factor TFIID subunit 1-like,Belongs to the TAF1 family,CHEMBL3108641
TBP,Transcription initiation factor TFIID subunit 1,Belongs to the TAF1 family,CHEMBL3217390
TBP,TATA box-binding protein-associated factor RNA polymerase I subunit A,N/A,CHEMBL4105882
TBP,Endothelial differentiation-related factor 1,N/A,CHEMBL4295670
TBP,Heat shock factor protein 1,Belongs to the HSF family,CHEMBL5869
ISL1,"POU domain, class 3, transcription factor 2",Belongs to the POU transcription factor family. Class-3 subfamily,CHEMBL4189
ISL1,Histone acetyltransferase KAT2A,Belongs to the acetyltransferase family. GCN5 subfamily,CHEMBL5501
ISL1,Signal transducer and activator of transcription 3,Belongs to the transcription factor STAT family,CHEMBL4026
SKP1,E3 ubiquitin-protein ligase RBX1,Belongs to the RING-box family,CHEMBL3833061
SKP1,Cullin-1,Belongs to the cullin family,CHEMBL3758068
SKP1,Calcyclin-binding protein,N/A,CHEMBL4295948
SKP1,G1/S-specific cyclin-E1,Belongs to the cyclin family. Cyclin E subfamily,CHEMBL3617
SKP1,Lysine-specific demethylase 2B,Belongs to the JHDM1 histone demethylase family,CHEMBL3779760
SKP1,Lysine-specific demethylase 2A,Belongs to the JHDM1 histone demethylase family,CHEMBL1938210
NR3C1,Glucocorticoid receptor,Belongs to the nuclear hormone receptor family. NR3 subfamily,CHEMBL2034
NR3C1,Transcription activator BRG1,Belongs to the SNF2/RAD54 helicase family,CHEMBL3085620
NR3C1,Ubiquitin-conjugating enzyme E2 L3,Belongs to the ubiquitin-conjugating enzyme family,CHEMBL4105871
NR3C1,SUMO-conjugating enzyme UBC9,Belongs to the ubiquitin-conjugating enzyme family,CHEMBL1741191
NR3C1,Histone acetyltransferase p300,N/A,CHEMBL3784
NR3C1,Nuclear receptor coactivator 1,Belongs to the SRC/p160 nuclear receptor coactivator family,CHEMBL1615387
NR3C1,Protein HEXIM1,Belongs to the HEXIM family,CHEMBL3120044
NR3C1,RAF proto-oncogene serine/threonine-protein kinase,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. RAF subfamily,CHEMBL1906
NR3C1,Heat shock protein HSP 90-alpha,Belongs to the heat shock protein 90 family,CHEMBL3880
NR3C1,Cyclin-dependent kinase 4,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL331
NR3C1,Heterogeneous nuclear ribonucleoprotein U,N/A,CHEMBL4296007
NR3C1,A-kinase anchor protein 13,N/A,CHEMBL4523643
NR3C1,Cryptochrome-1,Belongs to the DNA photolyase class-1 family,CHEMBL4296246
MLH1,ATP-dependent DNA helicase Q1,Belongs to the helicase family. RecQ subfamily,CHEMBL1293236
MLH1,Exonuclease 1,Belongs to the XPG/RAD2 endonuclease family. EXO1 subfamily,CHEMBL4523496
MLH1,DNA mismatch repair protein Msh2,Belongs to the DNA mismatch repair MutS family,CHEMBL4296019
TBPL1,Transcription initiation factor IIA subunit 1,Belongs to the TFIIA subunit 1 family,CHEMBL4832
TBPL1,Segment polarity protein dishevelled homolog DVL-3,Belongs to the DSH family,CHEMBL6028
CCNI,Cyclin-dependent kinase 3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL4442
CCNI,Cyclin-dependent kinase 6,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL2508
CCNI,Cyclin-dependent kinase 5,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL4036
GSC,ATP-dependent RNA helicase DHX30,Belongs to the DEAD box helicase family. DEAH subfamily,CHEMBL4105814
GSC,DNA dC->dU-editing enzyme APOBEC-3B,Belongs to the cytidine and deoxycytidylate deaminase family,CHEMBL4523487
GSC,DNA dC->dU-editing enzyme APOBEC-3A,Belongs to the cytidine and deoxycytidylate deaminase family,CHEMBL1741179
GSC,DNA dC->dU-editing enzyme APOBEC-3F,Belongs to the cytidine and deoxycytidylate deaminase family,CHEMBL2007626
GSC,DNA dC->dU-editing enzyme APOBEC-3G,Belongs to the cytidine and deoxycytidylate deaminase family,CHEMBL1741217
DUSP1,Dual specificity protein phosphatase 1,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,CHEMBL6026
DUSP1,Dual specificity protein phosphatase 2,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily,CHEMBL2157858
DUSP1,Mitogen-activated protein kinase 13,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2939
DUSP1,Mitogen-activated protein kinase 3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL3385
DUSP1,Mitogen-activated protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4040
DUSP1,Mitogen-activated protein kinase 14,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL260
DUSP1,Ribosomal protein S6 kinase alpha-4,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. S6 kinase subfamily,CHEMBL3125
DUSP1,Ribosomal protein S6 kinase alpha-5,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. S6 kinase subfamily,CHEMBL4237
DUSP1,Mitogen-activated protein kinase 10,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2637
DUSP1,Mitogen-activated protein kinase 15,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL5198
DUSP1,Mitogen-activated protein kinase 9,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4179
DUSP1,Mitogen-activated protein kinase 8,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2276
DUSP1,Polyubiquitin-B,Belongs to the ubiquitin family,CHEMBL4523178
PRRX1,Paired mesoderm homeobox protein 1,Belongs to the paired homeobox family,CHEMBL4879442
EGR1,Early growth response protein 1,Belongs to the EGR C2H2-type zinc-finger protein family,CHEMBL3616355
EGR1,Transcription factor Sp1,Belongs to the Sp1 C2H2-type zinc-finger protein family,CHEMBL6103
EGR1,COUP transcription factor 2,Belongs to the nuclear hormone receptor family. NR2 subfamily,CHEMBL1961790
EGR1,Fibroblast growth factor 23,Belongs to the heparin-binding growth factors family,CHEMBL3713913
EGR1,Poly(A)-specific ribonuclease PARN,Belongs to the CAF1 family,CHEMBL3616362
EGR1,Catenin beta-1,Belongs to the beta-catenin family,CHEMBL5866
GSTM2,Glutathione S-transferase Mu 2,Belongs to the GST superfamily. Mu family,CHEMBL4589
GSTM2,Glutathione S-transferase Mu 5,Belongs to the GST superfamily. Mu family,CHEMBL2819
DDX39A,ATP-dependent RNA helicase DDX39A,Belongs to the DEAD box helicase family. DECD subfamily,CHEMBL4105795
DDX39A,Diamine acetyltransferase 1,Belongs to the acetyltransferase family,CHEMBL4286
DDX39A,E3 ubiquitin-protein ligase RNF4,N/A,CHEMBL5291604
DDX39A,Heat shock protein beta-1,Belongs to the small heat shock protein (HSP20) family,CHEMBL5976
DDX39A,Huntingtin,Belongs to the huntingtin family,CHEMBL5514
FOSB,Protein FosB,Belongs to the bZIP family. Fos subfamily,CHEMBL4630821
FOSB,Transcription factor JunD,Belongs to the bZIP family. Jun subfamily,CHEMBL4630755
FOSB,Transcription factor Jun,Belongs to the bZIP family. Jun subfamily,CHEMBL4977
FOSB,cGMP-dependent protein kinase 2,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. cGMP subfamily,CHEMBL2896
FOSB,Tyrosine-protein kinase transmembrane receptor ROR2,Belongs to the protein kinase superfamily. Tyr protein kinase family. ROR subfamily,CHEMBL2375201
FOSB,Cyclic AMP-dependent transcription factor ATF-2,Belongs to the bZIP family. ATF subfamily,CHEMBL5291557
TBPL2,Transcription initiation factor TFIID subunit 3,Belongs to the TAF3 family,CHEMBL4523329
MTERF1,Pyridoxine-5'-phosphate oxidase,Belongs to the pyridoxamine 5'-phosphate oxidase family,CHEMBL3271932
ALDH1A2,Retinal dehydrogenase 2,Belongs to the aldehyde dehydrogenase family,CHEMBL3112384
TPH1,Tryptophan 5-hydroxylase 1,Belongs to the biopterin-dependent aromatic amino acid hydroxylase family,CHEMBL5689
TPH1,Beclin-1,Belongs to the beclin family,CHEMBL4296010
JUND,Transcription factor JunD,Belongs to the bZIP family. Jun subfamily,CHEMBL4630755
JUND,Menin,N/A,CHEMBL1615381
JUND,Protein FosB,Belongs to the bZIP family. Fos subfamily,CHEMBL4630821
JUND,Mitogen-activated protein kinase 10,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2637
JUND,Estrogen receptor,Belongs to the nuclear hormone receptor family. NR3 subfamily,CHEMBL206
JUND,"3',5'-cyclic-AMP phosphodiesterase 4C",Belongs to the cyclic nucleotide phosphodiesterase family. PDE4 subfamily,CHEMBL291
JUND,Actin-related protein 3,Belongs to the actin family. ARP3 subfamily,CHEMBL4105857
JUND,Cyclic AMP-dependent transcription factor ATF-2,Belongs to the bZIP family. ATF subfamily,CHEMBL5291557
JUND,Mitogen-activated protein kinase 9,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4179
JUND,Mitogen-activated protein kinase 8,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2276
JUND,Protein c-Fos,Belongs to the bZIP family. Fos subfamily,CHEMBL5029
JUND,Histone-lysine N-methyltransferase 2B,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily,CHEMBL2189112
JUND,PC4 and SFRS1-interacting protein,Belongs to the HDGF family,CHEMBL3988590
JUND,E3 ubiquitin-protein ligase Mdm2,Belongs to the MDM2/MDM4 family,CHEMBL5023
JUND,Histone-lysine N-methyltransferase 2A,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily,CHEMBL1293299
NR0B2,Nuclear receptor subfamily 0 group B member 2,Belongs to the nuclear hormone receptor family. NR0 subfamily,CHEMBL5603
NR0B2,Nuclear receptor subfamily 5 group A member 2,Belongs to the nuclear hormone receptor family. NR5 subfamily,CHEMBL3544
NR0B2,NAD-dependent protein deacetylase sirtuin-1,Belongs to the sirtuin family. Class I subfamily,CHEMBL4506
NR0B2,Hepatocyte nuclear factor 4-alpha,Belongs to the nuclear hormone receptor family. NR2 subfamily,CHEMBL5398
NR0B2,Nuclear receptor subfamily 0 group B member 1,Belongs to the nuclear hormone receptor family. NR0 subfamily,CHEMBL1795094
NR0B2,Peroxisome proliferator-activated receptor gamma,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL235
NR0B2,ATP-dependent RNA helicase DDX3X,Belongs to the DEAD box helicase family. DDX3/DED1 subfamily,CHEMBL5553
NR0B2,Androgen receptor,Belongs to the nuclear hormone receptor family. NR3 subfamily,CHEMBL1871
NR0B2,Bile acid receptor,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL2047
NR0B2,Nuclear receptor subfamily 1 group D member 1,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL1961783
NR0B2,Estrogen-related receptor gamma,Belongs to the nuclear hormone receptor family. NR3 subfamily,CHEMBL4245
NR0B2,Steroidogenic factor 1,Belongs to the nuclear hormone receptor family. NR5 subfamily,CHEMBL4666
NR0B2,Nuclear receptor ROR-gamma,Belongs to the nuclear hormone receptor family. NR1 subfamily,CHEMBL1741186
NR0B2,Histone deacetylase 3,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL1829
CHRM3,Muscarinic acetylcholine receptor M3,Belongs to the G-protein coupled receptor 1 family. Muscarinic acetylcholine receptor subfamily. CHRM3 sub-subfamily,CHEMBL245
CHRM3,Muscarinic acetylcholine receptor M5,Belongs to the G-protein coupled receptor 1 family. Muscarinic acetylcholine receptor subfamily. CHRM5 sub-subfamily,CHEMBL2035
EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,Belongs to the eIF-2-alpha family,CHEMBL1255131
EIF2S1,Methionine aminopeptidase 2,Belongs to the peptidase M24A family. Methionine aminopeptidase eukaryotic type 2 subfamily,CHEMBL3922
EIF2S1,Protein phosphatase 1 regulatory subunit 15A,Belongs to the PPP1R15 family,CHEMBL4630805
EIF2S1,Eukaryotic translation initiation factor 2-alpha kinase 3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL6030
EIF2S1,Eukaryotic translation initiation factor 2-alpha kinase 1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL6029
EIF2S1,Protein phosphatase 1 regulatory subunit 15B,Belongs to the PPP1R15 family,CHEMBL4630830
EIF2S1,Stalled ribosome sensor GCN1,Belongs to the GCN1 family,CHEMBL3706558
EIF2S1,Eukaryotic translation initiation factor 2A,Belongs to the WD repeat EIF2A family,CHEMBL4295938
EIF2S1,"Interferon-induced, double-stranded RNA-activated protein kinase",Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL5785
EIF2S1,eIF-2-alpha kinase GCN2,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. GCN2 subfamily,CHEMBL5358
EIF2S1,ATP-dependent RNA helicase DHX29,Belongs to the DEAD box helicase family. DEAH subfamily,CHEMBL4105909
EIF2S1,Prolyl 3-hydroxylase OGFOD1,Belongs to the TPA1 family,CHEMBL4523398
EIF2S1,Protein arginine N-methyltransferase 7,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family. PRMT7 subfamily,CHEMBL3562175
EIF2S1,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL2164
EIF2S1,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL4546
EIF2S1,Endoplasmin,Belongs to the heat shock protein 90 family,CHEMBL1075323
CCNB1,G2/mitotic-specific cyclin-B1,Belongs to the cyclin family. Cyclin AB subfamily,CHEMBL2412
CCNB1,M-phase inducer phosphatase 1,Belongs to the MPI phosphatase family,CHEMBL3775
CCNB1,Cyclin-dependent kinase 2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL301
CCNB1,Serine/threonine-protein kinase PLK1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily,CHEMBL3024
CCNB1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. WEE1 subfamily,CHEMBL3984
CCNB1,G2/mitotic-specific cyclin-B3,Belongs to the cyclin family. Cyclin AB subfamily,CHEMBL2094127
CCNB1,Threonine aspartase 1,Belongs to the Ntn-hydrolase family,CHEMBL6153
CCNB1,Ubiquitin carboxyl-terminal hydrolase 22,Belongs to the peptidase C19 family. UBP8 subfamily,CHEMBL5291597
CCNB1,Cyclin-dependent kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL308
IRAK2,Interleukin-1 receptor-associated kinase-like 2,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. Pelle subfamily,CHEMBL4105759
